web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
"1623004963-92","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Giorgio Chiellini","Italien","Forsvar","4.500.000","1,6%"
"1623004963-38","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Luuk de Jong","Holland","Angreb","5.500.000","2,6%"
"1623004963-567","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Oleksandr Tymchyk","Ukraine","Forsvar","2.000.000","0,1%"
"1623004963-240","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andy Robertson","Skotland","Forsvar","3.500.000","1,3%"
"1623004963-513","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Adam Hlozek","Tjekkiet","Angreb","2.500.000","0,1%"
"1623004963-304","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jannik Vestergaard","Danmark","Forsvar","3.000.000","1,4%"
"1623004963-324","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Stole Dimitrievski","Nordmakedonien","Mål","3.000.000","0,2%"
"1623004963-521","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andras Schäfer","Ungarn","Midtbane","2.500.000","0,0%"
"1623004963-395","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joël Veltman","Holland","Forsvar","3.000.000","0,1%"
"1623004963-423","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joachim Andersen","Danmark","Forsvar","2.500.000","0,7%"
"1623004963-393","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pau Torres","Spanien","Forsvar","3.000.000","4,5%"
"1623004963-124","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Vladimir Darida","Tjekkiet","Midtbane","4.000.000","0,2%"
"1623004963-327","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jan Bednarek","Polen","Forsvar","3.000.000","0,9%"
"1623004963-341","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Aleksei Miranchuk","Rusland","Midtbane","3.000.000","0,1%"
"1623004963-152","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Donyell Malen","Holland","Angreb","4.000.000","0,7%"
"1623004963-183","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jorginho","Italien","Midtbane","4.000.000","3,7%"
"1623004963-377","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jonathan Williams","Wales","Midtbane","3.000.000","0,1%"
"1623004963-348","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ryan Fraser","Skotland","Angreb","3.000.000","0,2%"
"1623004963-462","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Lyndon Dykes","Skotland","Angreb","2.500.000","0,2%"
"1623004963-43","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jadon Sancho","England","Angreb","5.500.000","1,7%"
"1623004963-199","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andreas Christensen","Danmark","Forsvar","3.500.000","19,0%"
"1623004963-396","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Cody Gakpo","Holland","Angreb","3.000.000","0,1%"
"1623004963-487","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Connor Roberts","Wales","Forsvar","2.500.000","0,3%"
"1623004963-478","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Zeki Celik","Tyrkiet","Forsvar","2.500.000","1,6%"
"1623004963-385","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcel Halstenberg","Tyskland","Forsvar","3.000.000","0,1%"
"1623004963-227","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Goran Pandev","Nordmakedonien","Angreb","3.500.000","0,2%"
"1623004963-238","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Yuri Zhirkov","Rusland","Forsvar","3.500.000","0,1%"
"1623004963-344","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kieran Tierney","Skotland","Forsvar","3.000.000","1,0%"
"1623004963-45","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Youri Tielemans","Belgien","Midtbane","5.000.000","9,1%"
"1623004963-576","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dmitriy Barinov","Rusland","Midtbane","2.000.000","0,1%"
"1623004963-187","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christoph Baumgartner","Østrig","Midtbane","3.500.000","2,7%"
"1623004963-283","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Cengiz Ünder","Tyrkiet","Angreb","3.500.000","0,1%"
"1623004963-19","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Diogo Jota","Portugal","Angreb","6.500.000","3,2%"
"1623004963-121","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Lovre Kalinic","Kroatien","Mål","4.000.000","0,1%"
"1623004963-607","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jere Uronen","Finland","Forsvar","2.000.000","0,0%"
"1623004963-32","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Michy Batshuayi","Belgien","Angreb","5.500.000","0,2%"
"1623004963-279","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jonas Omlin","Schweiz","Mål","3.500.000","0,0%"
"1623004963-334","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joao Moutinho","Portugal","Midtbane","3.000.000","1,3%"
"1623004963-459","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Stephen O'Donnell","Skotland","Forsvar","2.500.000","0,1%"
"1623004963-347","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Callum McGregor","Skotland","Midtbane","3.000.000","0,1%"
"1623004963-243","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pedri Gonzalez Lopez","Spanien","Midtbane","3.500.000","11,6%"
"1623004963-126","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Frederik Rønnow","Danmark","Mål","4.000.000","0,1%"
"1623004963-538","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Rasmus Schüller","Finland","Midtbane","2.000.000","0,2%"
"1623004963-294","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcelo Brozovic","Kroatien","Midtbane","3.000.000","1,3%"
"1623004963-290","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Xaver Schlager","Østrig","Midtbane","3.000.000","0,3%"
"1623004963-255","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Steven Zuber","Schweiz","Midtbane","3.500.000","0,2%"
"1623004963-474","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Umut Meras","Tyrkiet","Forsvar","2.500.000","0,2%"
"1623004963-388","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pedro Goncalves","Portugal","Angreb","3.000.000","0,2%"
"1623004963-560","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tomas Hubocan","Slovakiet","Forsvar","2.000.000","0,1%"
"1623004963-248","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kristoffer Olsson","Sverige","Midtbane","3.500.000","0,1%"
"1623004963-475","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kaan Ayhan","Tyrkiet","Forsvar","2.500.000","0,3%"
"1623004963-115","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcel Sabitzer","Østrig","Angreb","4.000.000","1,5%"
"1623004963-614","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Denys Popov","Ukraine","Forsvar","2.000.000","0,1%"
"1623004963-50","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Sam Johnstone","England","Mål","5.000.000","0,1%"
"1623004963-514","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jakub Pesek","Tjekkiet","Midtbane","2.500.000","0,1%"
"1623004963-488","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ethan Ampadu","Wales","Forsvar","2.500.000","0,1%"
"1623004963-149","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Davy Klaassen","Holland","Midtbane","4.000.000","3,6%"
"1623004963-94","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marco Verratti","Italien","Midtbane","4.500.000","2,0%"
"1623004963-56","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joshua Kimmich","Tyskland","Midtbane","5.000.000","4,3%"
"1623004963-93","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alessandro Florenzi","Italien","Forsvar","4.500.000","3,6%"
"1623004963-394","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pablo Sarabia","Spanien","Midtbane","3.000.000","0,8%"
"1623004963-166","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Sebastian Larsson","Sverige","Midtbane","4.000.000","0,3%"
"1623004963-123","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tomas Vaclik","Tjekkiet","Mål","4.000.000","0,2%"
"1623004963-51","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dominic Calvert-Lewin","England","Angreb","5.000.000","0,3%"
"1623004963-256","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Edimilson Fernandes","Schweiz","Midtbane","3.500.000","0,1%"
"1623004963-59","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tim Krul","Holland","Mål","5.000.000","2,3%"
"1623004963-343","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Grant Hanley","Skotland","Forsvar","3.000.000","0,1%"
