web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
1624189734-2446,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Frederik Rönnow,Skotland,Forsvar,1.990.000,"0,0%"
1624189734-1990,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Dmitriy Barinov,Østrig,Midtbane,4.093.000,"4,4%"
1624189734-1935,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Thomas Meunier,Belgien,Forsvar,4.656.000,"2,4%"
1624189734-2037,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Ivan Perisic,Danmark,Midtbane,3.978.000,"0,9%"
1624189734-1934,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marjan Radeski,Portugal,Mål,4.657.000,"2,2%"
1624189734-2223,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Matthijs de Ligt,Schweiz,Angreb,2.990.000,"0,1%"
1624189734-2175,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Kristoffer Nordfeldt,England,Midtbane,3.027.000,"4,0%"
1624189734-1992,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Daniel Owen James,Frankrig,Forsvar,4.086.000,"9,0%"
1624189734-2451,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Martin Valjent,Nordmakedonien,Angreb,1.990.000,"0,0%"
1624189734-2029,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jukka Raitala,Portugal,Midtbane,3.990.000,"0,2%"
1624189734-2157,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Pawel Dawidowicz,Sverige,Midtbane,3.054.000,"0,2%"
1624189734-2349,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Simon Mignolet,Ungarn,Midtbane,2.490.000,"0,0%"
1624189734-1947,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Maksim Mukhin,Italien,Forsvar,4.527.000,"2,2%"
1624189734-1906,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Yusuf Yazici,Tyskland,Forsvar,5.301.000,"2,9%"
1624189734-2408,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Florian Neuhaus,Ukraine,Angreb,2.027.000,"0,2%"
1624189734-2159,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Memphis Depay,Tjekkiet,Midtbane,3.046.000,"0,2%"
1624189734-2126,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Dominik Livakovic,Kroatien,Midtbane,3.487.000,"0,3%"
1624189734-2193,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Leon Goretzka,Ungarn,Angreb,3.000.000,"0,1%"
1624189734-2058,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Denis Zakaria,England,Forsvar,3.587.000,"2,6%"
1624189734-2355,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marcel Sabitzer,Wales,Forsvar,2.490.000,"0,0%"
1624189734-2133,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Jonathan Williams,Danmark,Forsvar,3.470.000,"16,3%"
1624189734-2220,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Loris Benito,Spanien,Forsvar,2.990.000,"0,2%"
1624189734-2443,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Milan Skriniar,Rusland,Forsvar,1.990.000,"0,0%"
1624189734-2095,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Marcus Berg,Kroatien,Mål,3.490.000,"0,0%"
1624189734-2127,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Bartosz Bereszynski,Schweiz,Forsvar,3.482.000,"0,2%"
1624189734-2096,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Scott McTominay,Kroatien,Forsvar,3.490.000,"0,2%"
1624189734-2336,https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new,Michael Krmencik,Ukraine,Angreb,2.490.000,"0,1%"
